session_id,press_time,release_time,dwell_time,flight_time,emotion,error,wpm
7c4c6984-ad46-4829-af34-a03a52decca9,1749337662.3232381,1749337662.6117685,0.2885303497314453,,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337662.4809055,1749337662.5945513,0.11364579200744629,,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337662.6896603,1749337663.0386908,0.3490304946899414,0.07789182662963867,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337662.8346431,1749337662.8448615,0.010218381881713867,0.22287464141845703,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337662.9266062,1749337662.9303017,0.0036954879760742188,0.08174467086791992,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337663.093581,1749337663.42676,0.3331789970397949,0.05489015579223633,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337663.2188492,1749337663.2708383,0.051989078521728516,0.18015837669372559,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337663.3028538,1749337663.3283753,0.025521516799926758,0.03201556205749512,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337663.5042672,1749337663.6827173,0.1784501075744629,0.07750725746154785,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337663.555673,1749337663.6250734,0.06940054893493652,0.12891292572021484,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337663.6940744,1749337663.8166797,0.1226053237915039,0.01135706901550293,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337663.8991818,1749337664.0303936,0.1312117576599121,0.08250212669372559,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337664.7236059,1749337664.8123236,0.08871769905090332,0.6932122707366943,Stressed,0,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337664.9711068,1749337665.2010279,0.2299211025238037,0.1587831974029541,Stressed,1,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337665.0798593,1749337665.1590257,0.07916641235351562,0.2675356864929199,Stressed,1,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337665.2238498,1749337665.3211315,0.09728169441223145,0.022821903228759766,Stressed,1,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337665.430873,1749337665.5322833,0.1014103889465332,0.1097414493560791,Stressed,1,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337665.5342836,1749337665.8357363,0.30145263671875,0.0020003318786621094,Stressed,1,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337665.5989351,1749337665.6923234,0.09338831901550293,0.06665182113647461,Stressed,1,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337665.7267892,1749337665.7722948,0.045505523681640625,0.034465789794921875,Stressed,1,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337667.088696,1749337667.176647,0.0879509449005127,1.2529597282409668,Stressed,1,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337667.4580054,1749337667.5553658,0.09736037254333496,0.2813584804534912,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337667.57916,1749337667.6673446,0.08818459510803223,0.023794174194335938,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337667.805173,1749337668.124177,0.3190040588378906,0.13782835006713867,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337667.9714036,1749337668.0528862,0.0814826488494873,0.3040590286254883,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337668.4705882,1749337668.6368816,0.16629338264465332,0.34641122817993164,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337668.6887047,1749337669.271477,0.5827722549438477,0.05182313919067383,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337668.763401,1749337668.778112,0.01471090316772461,0.12651944160461426,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337668.8652406,1749337668.9401133,0.07487273216247559,0.0871286392211914,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337669.0001748,1749337669.0862482,0.08607339859008789,0.06006145477294922,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337669.1430223,1749337669.146306,0.0032837390899658203,0.056774139404296875,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337669.3001928,1749337669.5868516,0.28665876388549805,0.028715848922729492,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337669.4007375,1749337669.4455147,0.04477715492248535,0.12926054000854492,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337669.7969053,1749337669.9096572,0.11275196075439453,0.2100536823272705,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337669.9907033,1749337670.3103178,0.3196144104003906,0.08104610443115234,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337670.1116354,1749337670.1291292,0.017493724822998047,0.20197820663452148,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337670.2031884,1749337670.2284946,0.025306224822998047,0.07405924797058105,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337670.3368132,1749337670.5719817,0.23516845703125,0.02649545669555664,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337670.445022,1749337670.4707863,0.02576422691345215,0.1347043514251709,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337670.7458935,1749337670.8868468,0.14095330238342285,0.17391180992126465,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337671.0056303,1749337671.1321354,0.12650513648986816,0.11878347396850586,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337671.6827962,1749337671.75193,0.06913375854492188,0.5506608486175537,Stressed,2,50.24138620958784
7c4c6984-ad46-4829-af34-a03a52decca9,1749337671.8085275,1749337671.892474,0.08394646644592285,0.05659747123718262,Stressed,3,50.24138620958784
